회사명,지역,직무,링크
네이버제트,성남 분당구,[NAVER Z] Monetization & Data Analysis (계약직),https://kr.indeed.com/rc/clk?jk=c5291af09bb5d877&fccid=bc34e4450e078d19&vjs=3
블록스퀘어서울,서울 서초구,데이터분석 신입/경력 정규직,https://kr.indeed.com/rc/clk?jk=88960e11c2cdd682&fccid=72348558bd9456ba&vjs=3
카카오브레인,성남 분당구,INTERN / AI Research Intern(Biology),https://kr.indeed.com/rc/clk?jk=4c8d6ffc493b6509&fccid=cba3dd38afc6edb8&vjs=3
테라젠바이오,성남 분당구,빅데이터연구부 신입/경력직,https://kr.indeed.com/rc/clk?jk=c3278f69cf2da442&fccid=b3f542232194f2f7&vjs=3
한국필립모리스㈜,서울 영등포구,한국필립모리스 2022년 상반기 수시,https://kr.indeed.com/rc/clk?jk=44e9ac7f0f94e784&fccid=fb7e65f74b012d18&vjs=3
카카오엔터프라이즈,성남 분당구,[AI Lab] AI Assistant 자연어이해 모델 연구/개발자 영입,https://kr.indeed.com/rc/clk?jk=ac3bc0465977b363&fccid=e19aa33fc391b310&vjs=3
한국고용정보원,충청북도 음성,2023년도 1차 직원,https://kr.indeed.com/rc/clk?jk=a7ac651b6dd863e0&fccid=0efa3bc2d14a4a9e&vjs=3
엘리스,서울 강남구,[신입]백엔드 개발자,https://kr.indeed.com/rc/clk?jk=b49175f39df025f6&fccid=b00d4b329a5fe2ac&vjs=3
딥엑스,성남 분당구,전문연구요원 (병역특례) 수시 (AI / SW 분야),https://kr.indeed.com/rc/clk?jk=d83fc0dd2641f483&fccid=e34932b8232a173b&vjs=3
카카오엔터프라이즈,성남 분당구,[AI Lab & Service] OCR 서비스 개발 인턴 영입,https://kr.indeed.com/rc/clk?jk=f0e423cff23f5b39&fccid=e19aa33fc391b310&vjs=3
유한회사 미소,서울,[외국계 스타트업 미소] Business Analyst Intern (정규직 전환형),https://kr.indeed.com/rc/clk?jk=4c25d6649f8434a8&fccid=02936474a8d39137&vjs=3
네이버클라우드,성남 분당구,[NAVER Cloud] MLOps 서비스 개발,https://kr.indeed.com/rc/clk?jk=8f37288584b0ced5&fccid=54815931228b42c0&vjs=3
삼인시스템,대구 달서구,[지역주도형 청년일자리사업] Java/Python프로그램 개발자,https://kr.indeed.com/rc/clk?jk=6a7e8ffef53e75b6&fccid=2cc5cddc034ad847&vjs=3
Mastercard,서울,Associate Consultant Intern,https://kr.indeed.com/rc/clk?jk=acf53a07a0c4d06f&fccid=10b5c722d846df43&vjs=3
반달소프트,성남 분당구,2023년 상반기 백엔드 개발자,https://kr.indeed.com/rc/clk?jk=1601f1bfe3302af5&fccid=f35f7fc5e918087a&vjs=3
쏘마,성남 분당구,"2022년 상반기 주식회사 쏘마 전 개발 직군 (백엔드, 프론트엔드 외 신입/경력 정규직)",https://kr.indeed.com/rc/clk?jk=13ef6f86810c0843&fccid=a3463f311ce6421e&vjs=3
에바,성남 수정구,"자율 주행, 로봇 SW 개발자",https://kr.indeed.com/rc/clk?jk=e30fe92d72ceb17c&fccid=5cc87f5890bd7170&vjs=3
KB저축은행,서울 송파구,KB저축은행 경력직,https://kr.indeed.com/rc/clk?jk=e531b39ecff23e22&fccid=a638644439b34cff&vjs=3
포티투마루,서울 서초구,[포티투마루] 인공지능(AI) 개발자 전 부문,https://kr.indeed.com/rc/clk?jk=22ffe020e40de675&fccid=b6cebf2e7d619f07&vjs=3
현대자동차그룹,대한민국,"HR데이터 분석 (People Analytics)[매니저, 책임매니저]",https://kr.indeed.com/rc/clk?jk=40c2e6d8ddd57c0f&fccid=980d6ecc399a3373&vjs=3
뮤레파코리아,성남 수정구,"웹개발, 프론트엔드 신입/경력 계약직",https://kr.indeed.com/rc/clk?jk=f498a784c28d03bb&fccid=5fc71e9cbda0dfc6&vjs=3
엔씨소프트,성남 판교역,[단기계약직] 데이터 구축/분석 언어학자 모집,https://kr.indeed.com/rc/clk?jk=e25ba7940d4f5108&fccid=a1e4e21b1f33cf40&vjs=3
현대자동차그룹,대한민국,[ICT] Data Scientist - 자연어처리[매니저],https://kr.indeed.com/rc/clk?jk=cf99a4662ad1c936&fccid=980d6ecc399a3373&vjs=3
스스스스,서울 서초구,[스스스스] 2023년 상반기 신입 공개 - 디지털 미디어 마케터,https://kr.indeed.com/rc/clk?jk=cdb612957c578199&fccid=350448f49645d244&vjs=3
데브시스터즈,서울 강남구,[데브시스터즈] Data Analyst (Junior),https://kr.indeed.com/rc/clk?jk=9a5aa103c01ffb73&fccid=58a9a803698a0afd&vjs=3
Google,서울,2023 Student Training in Engineering Program (STEP),https://kr.indeed.com/rc/clk?jk=b89ff63eb6593d15&fccid=a5b4499d9e91a5c6&vjs=3
한화그룹,서울,[신사업부문] Data Analytics 데이터분석가,https://kr.indeed.com/rc/clk?jk=c17d8b2d3ea4a478&fccid=bd0dc1817223394f&vjs=3
현대자동차그룹,성남 판교역,[선행기술원] Quantum Information - 양자 알고리즘[책임연구원],https://kr.indeed.com/rc/clk?jk=95bead20034b3ade&fccid=980d6ecc399a3373&vjs=3
시니어앤파트너즈,서울 서초구,"[양재역] AI/빅데이터 데이터분석(석,박사)",https://kr.indeed.com/rc/clk?jk=ce71e040d5a36470&fccid=59060ddcdf96b101&vjs=3
RIDI Corp,서울,데이터분석가(Global),https://kr.indeed.com/rc/clk?jk=26487723e25578a3&fccid=ba4215b904dee414&vjs=3
EY,서울 영등포구,[EY한영] 컨설팅본부 DnA팀 인턴 채용 (프랑스어 능통자),https://kr.indeed.com/rc/clk?jk=d05e5d3e83280305&fccid=1544766d4c2915b0&vjs=3
Nexon,경기도 성남,[기술본부] 플랫폼 시스템 엔지니어,https://kr.indeed.com/rc/clk?jk=25766f2ca02f322e&fccid=aba87288e4cc3687&vjs=3
딥엑스,성남 분당구,딥러닝 알고리즘 및 응용 Engineer,https://kr.indeed.com/rc/clk?jk=35f0a25dee5f3312&fccid=e34932b8232a173b&vjs=3
시큐어링크,서울 구로구,AI/블록체인 개발자,https://kr.indeed.com/rc/clk?jk=defa6d34b48da188&fccid=898f0e9d97b2bff6&vjs=3
DGB데이터시스템,대구 봉무동,IT 시스템관리 신입/경력 채용공고,https://kr.indeed.com/rc/clk?jk=a31ae96f2fc41a0a&fccid=778ad8ce49094822&vjs=3
한화시스템,성남 분당구,2023년 한화시스템 석/박사 신입 및 경력 (SW분야),https://kr.indeed.com/rc/clk?jk=e4603e7e689c346f&fccid=46ba4635611e86ea&vjs=3
샘표식품,서울 중구,[경영혁신본부] 플랫폼 개발자(정규직),https://kr.indeed.com/rc/clk?jk=0a23d1258a28f939&fccid=fd664cf43c2cdb73&vjs=3
현대오토에버,서울,[신입] 미래 인재 DB,https://kr.indeed.com/rc/clk?jk=8488f46665d1b77a&fccid=d5a22a3e93377742&vjs=3
엔씨소프트,성남 판교역,[2023 전문연구요원] Programming - 게임 엔진 개발,https://kr.indeed.com/rc/clk?jk=e2ed0d2e4f66b139&fccid=a1e4e21b1f33cf40&vjs=3
Nexon,경기도 성남,[인텔리전스랩스] 데이터 분석가 (마케팅),https://kr.indeed.com/rc/clk?jk=460dc8ad3ad79208&fccid=aba87288e4cc3687&vjs=3
LINE Plus corporation,대한민국,LINE Messaging Server Engineer NEW,https://kr.indeed.com/rc/clk?jk=c3f58be0b4504f23&fccid=e90e80bc9ed9a53f&vjs=3
제주관광공사,제주 제주시,2023년 제주관광공사 제1차 계약직 공개,https://kr.indeed.com/rc/clk?jk=a768cfbdbd5fba9e&fccid=fe1476cd85b45883&vjs=3
라이트비전,서울 성동구,SW개발 전문연구요원 편입(병역특례),https://kr.indeed.com/rc/clk?jk=c80f6c21e2720f82&fccid=e391d8e930358bac&vjs=3
한화그룹,서울,2023년 한화시스템 석/박사 신입 및 경력 채용 (SW분야),https://kr.indeed.com/rc/clk?jk=540ce8adcf30a84b&fccid=bd0dc1817223394f&vjs=3
현대자동차그룹,성남 판교역,[선행기술원] Machine Learning[책임연구원],https://kr.indeed.com/rc/clk?jk=40e310eda5a03200&fccid=980d6ecc399a3373&vjs=3
딥엑스,성남 분당구,DNN 모델 개발 엔지니어,https://kr.indeed.com/rc/clk?jk=303d8c644a5f2e0f&fccid=e34932b8232a173b&vjs=3
MIND AI INC,서울 중구,English Data Linguist for AI Startup,https://kr.indeed.com/company/JNP-LAB/jobs/English-Data-Linguist-Ai-Startup-6838a87dfaacc92f?fccid=5cde252d550394d2&vjs=3
플라잎,성남 분당구,Reinforcement Learning Engineer,https://kr.indeed.com/rc/clk?jk=c67aecf9cd6a25fd&fccid=84dacc2dd7eb12bf&vjs=3
현대건설기계,성남 분당구,2023년 상반기 건설기계 3社 경력사원,https://kr.indeed.com/rc/clk?jk=9ad78f39360eeb29&fccid=15eb6ec522cd5360&vjs=3
엔씨소프트,성남 판교역,네트워크 엔지니어 모집,https://kr.indeed.com/rc/clk?jk=f4d81342a6742705&fccid=a1e4e21b1f33cf40&vjs=3
아토머스,서울 강남구,파이썬(python) 백엔드 개발자(산업기능요원 가능),https://kr.indeed.com/rc/clk?jk=ac79bb88fd724489&fccid=660bbb21789ab63d&vjs=3
어밸브,서울 서초구,딥러닝 신입/경력 정규직,https://kr.indeed.com/rc/clk?jk=071c8d5b9ced8e9d&fccid=90e59c5d7146f2da&vjs=3
베이리스,성남 수정구,딥러닝 AI 개발 연구원,https://kr.indeed.com/rc/clk?jk=87309d3ff40ead61&fccid=ce871e9e4a9f430a&vjs=3
기아,서울 서초구,Data Engineering,https://kr.indeed.com/rc/clk?jk=3dd64cf3cd49bd12&fccid=4407ef3f1668028b&vjs=3
ASML,대한민국,CS D&A(Digitalization & Automation) Software Developer,https://kr.indeed.com/rc/clk?jk=64313cfa4a880cca&fccid=57ed5f0210b0681a&vjs=3
비바리퍼블리카,서울 강남구,Data Engineer (Analytics),https://kr.indeed.com/rc/clk?jk=fe2492dd5c3903a5&fccid=17dc934b27d58446&vjs=3
메디픽셀,서울 마포구,[전문연구요원] 의료영상 리서치 엔지니어 정규직,https://kr.indeed.com/rc/clk?jk=3544467a7b64376f&fccid=aba88c202493b8a5&vjs=3
데이터앤솔루션,서울 서초구,파이썬 개발자 초중급 이상,https://kr.indeed.com/rc/clk?jk=d158e683dc0b7500&fccid=02f32b94107c54e3&vjs=3
Google,서울,"Software Engineer, People with Disabilities (장애인 채용)",https://kr.indeed.com/rc/clk?jk=ac64fda2e281b835&fccid=a5b4499d9e91a5c6&vjs=3
국내 대기업 그룹 유통 계열사,서울 용산구,[글로벌 대형 디지털마케팅 기업] CRM 데이터 분,https://kr.indeed.com/company/%EC%99%B8%EA%B5%AD%EA%B3%84-%EB%8C%80%ED%98%95-%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85-%ED%9A%8C%EC%82%AC/jobs/Cr-bfa6b6e58b76b00b?fccid=1e02e235dd9382a8&vjs=3
코인챗,서울 강남구,"웹개발, 백엔드 외 신입/경력 정규직",https://kr.indeed.com/rc/clk?jk=e3f3b7e2103d9bc7&fccid=e60f835b4d91f8e6&vjs=3
드림에이스,서울 성동구,[전문연구요원 지원가능] 차량용 임베디드 소프트웨어 개발,https://kr.indeed.com/rc/clk?jk=4c6f90c602e46c23&fccid=8ff46f0f52527109&vjs=3
니어스랩,서울 강남구,[전문연구요원] 항공 및 로보틱스 엔지니어,https://kr.indeed.com/rc/clk?jk=a47e839bc90d7fff&fccid=f3d5eeb09e72b348&vjs=3
엔씨소프트,성남 판교역,"데이터센터, 클라우드 기반 인프라 자동화 개발자 모집",https://kr.indeed.com/rc/clk?jk=002035ea62a79f17&fccid=a1e4e21b1f33cf40&vjs=3
엘세븐시큐리티,서울 송파구,딥러닝 통한 인공지능 솔루션 개발자,https://kr.indeed.com/rc/clk?jk=554e814302b8a380&fccid=72880ee98034ba13&vjs=3
한국정보기술단,서울 강남구,데이터표준품질부문 경력직 (정규직),https://kr.indeed.com/rc/clk?jk=78b97e23de61aff9&fccid=99925e8e7b9604cc&vjs=3
한국품질재단,부산 사상구,2023 K-디지털 트레이닝 빅데이터 크리에이터 양성과정,https://kr.indeed.com/rc/clk?jk=dd2c148b52ff84f6&fccid=f9e2e81d70c91524&vjs=3
지브이에이자산운용,대한민국,IT지원 인력,https://kr.indeed.com/rc/clk?jk=04768e08c035071e&fccid=7a8780582840bfd3&vjs=3
Logistics Management Institute,서울,Junior Data Scientist,https://kr.indeed.com/rc/clk?jk=ffcab40699b79c6b&fccid=12626f295bf6a003&vjs=3
Mofac,서울 서초구,FX,https://kr.indeed.com/rc/clk?jk=9214061c8bc345b2&fccid=6cddb172d498d15c&vjs=3
써로마인드로보틱스,서울 관악구,기술 인턴 인공지능 응용 연구/개발 인턴,https://kr.indeed.com/rc/clk?jk=71c47ac87bb4087e&fccid=230e414668234579&vjs=3
로민,서울 서초구,머신러닝 엔지니어 (CV / NLP),https://kr.indeed.com/rc/clk?jk=38d5279a251bd125&fccid=0d0806ee63249f1f&vjs=3
보이스루,서울 강남구,DeepLearning R&D Researcher,https://kr.indeed.com/rc/clk?jk=fe177462f79a3fab&fccid=47d3a5ed3c96e651&vjs=3
콘텐츠웨이브,서울 영등포구,[Tech] MLOps 개발자,https://kr.indeed.com/rc/clk?jk=99ce9838664df877&fccid=5bc77c5b90715cab&vjs=3
와탭랩스,서울 서초구,Python 모니터링 에이전트 개발자,https://kr.indeed.com/rc/clk?jk=f912e9946fc3f308&fccid=63a63ea10794e483&vjs=3
쿠노소프트,서울 성북구,인공지능 및 머신러닝 연구원 초빙,https://kr.indeed.com/rc/clk?jk=d24d8a681429b418&fccid=f2fc7b11fc1dd68f&vjs=3
엔씨소프트,성남 판교역,Datacenter Engineer 모집,https://kr.indeed.com/rc/clk?jk=7fd435ed0999c503&fccid=a1e4e21b1f33cf40&vjs=3
메디인테크,서울 종로구,"C/C++, Python 로봇 제어 개발자",https://kr.indeed.com/rc/clk?jk=718f3daebfc59a4b&fccid=4178395beb21535a&vjs=3
십일번가,서울 중구,[11번가] BI/DW Engineer,https://kr.indeed.com/rc/clk?jk=1e74695a011b66a6&fccid=54911ff2dce6c429&vjs=3
NHN Enterprise,성남 판교역,클라우드 플랫폼 운영 엔지니어,https://kr.indeed.com/rc/clk?jk=40e20a58af1e44ee&fccid=cc378bd7bc831eca&vjs=3
한화그룹,서울,2023년 한화시스템 석/박사 신입 및 경력 채용 (HW분야),https://kr.indeed.com/rc/clk?jk=d8cf122f84bddf8e&fccid=bd0dc1817223394f&vjs=3
KB데이타시스템,서울 마포구,그룹공동 마이데이터 분석 플랫폼(데이터분석가),https://kr.indeed.com/rc/clk?jk=25b3c3e6a66bd77c&fccid=fe227fbd2afb9580&vjs=3
네이버클라우드,성남 분당구,[NAVER Cloud] 빅데이터 분석 플랫폼 엔지니어,https://kr.indeed.com/rc/clk?jk=b1d387f57e73b396&fccid=54815931228b42c0&vjs=3
밸류에잇 벤처스,대전 서구,[램플코딩학원] 온오프라인 코딩 강사,https://kr.indeed.com/rc/clk?jk=3415a2ec10f41d98&fccid=11d8b37b858f8313&vjs=3
딥브레인에이아이,서울,[인공지능기업] 병역특례 산업기능요원 (SW개발자),https://kr.indeed.com/rc/clk?jk=d3a6ba916d772b85&fccid=302172cb32d33ddc&vjs=3
엔씨소프트,성남 판교역,[2023 전문연구요원] AI R&D-Language AI,https://kr.indeed.com/rc/clk?jk=7da87f6985949b06&fccid=a1e4e21b1f33cf40&vjs=3
어밸브,서울 서초구,"스마트팜설계, 스마트팜엔지니어 외 신입/경력 정규직",https://kr.indeed.com/rc/clk?jk=bb1259466e865efe&fccid=90e59c5d7146f2da&vjs=3
하이브비젼,경기도 의왕,2023년 기술지원 신입/경력 공채,https://kr.indeed.com/rc/clk?jk=da37d6862a4f1dbf&fccid=362466bf7a8d63ae&vjs=3
넷믹스,성남 분당구,2020 KOSME 내일애 특성화고 온택트 박람회,https://kr.indeed.com/rc/clk?jk=9144817ca6d5abb5&fccid=5b90b8565ebcbbca&vjs=3
웨이브웨어,대전 유성구,(주)웨이브웨어 2023 년도 (프로그래머) 신입.경력,https://kr.indeed.com/rc/clk?jk=092c861e4c347776&fccid=ddad0ce1cfda8e04&vjs=3
위메이드엔터테인먼트,성남 분당구,퀀트 개발자,https://kr.indeed.com/rc/clk?jk=6e4e58586d87c2e2&fccid=98560b2ab77dd913&vjs=3
Toss,서울,Data Scientist,https://kr.indeed.com/rc/clk?jk=9cb8324539546a71&fccid=18c4935c8ec646d5&vjs=3
NHN,성남 판교역,게임 데이터 서비스/플랫폼 개발,https://kr.indeed.com/rc/clk?jk=028f37ec9f6509a9&fccid=cc378bd7bc831eca&vjs=3
카이어,서울 서초구,Machine Learning R&D 연구원,https://kr.indeed.com/rc/clk?jk=19da3484bd7a72f1&fccid=908ef26c4dd7595f&vjs=3
Dunamu,서울,디지털 자산 리서치 인턴,https://kr.indeed.com/rc/clk?jk=a5b4dfb90415269e&fccid=54c9c086b03b7cdc&vjs=3
인코리아 프로페셔널,서울 강남구,[외국계상장사]데이터분석가(Data Analyst),https://kr.indeed.com/rc/clk?jk=7ad982fec3792221&fccid=842365965c1f45a0&vjs=3
카카오,성남 판교역,PostgreSQL Engineer 모집,https://kr.indeed.com/rc/clk?jk=928d88715d8ce53a&fccid=2952458d506281b4&vjs=3
디지포머싸스랩,서울 강남구,애플리케이션 개발자&컨설턴트 정규직,https://kr.indeed.com/rc/clk?jk=f8bfec7bfbdffd0a&fccid=20b90fd47dc8bed1&vjs=3
환인제약,서울 송파구,상시 인재 (IT 지원),https://kr.indeed.com/rc/clk?jk=22cc8ed09bf47f1f&fccid=fb43834fbb50ff52&vjs=3
한국해양기상기술,서울 구로구,"[(주)한국해양기상기술] 풀스택 개발자 (python, javascript, php, gis)",https://kr.indeed.com/rc/clk?jk=0efbb31d10aed4bd&fccid=9a116f00e73f6791&vjs=3
크림,성남 분당구,[KREAM] 백엔드 추천 시스템 개발자,https://kr.indeed.com/rc/clk?jk=059a84124655a970&fccid=146c028635667214&vjs=3
윙크스톤파트너스,서울 영등포구,[디지털일자리매칭플랫폼] Data Scientist,https://kr.indeed.com/rc/clk?jk=4f7b85aca642439b&fccid=16b819a0a4ad96c2&vjs=3
메이아이,서울 서초구,Data Analyst,https://kr.indeed.com/rc/clk?jk=b20024ae04249edf&fccid=3e00f0ee0376e91e&vjs=3
컬리,서울 강남구,데이터플랫폼팀 데이터분석가(Data Analyst),https://kr.indeed.com/rc/clk?jk=c2d07f35f70c865a&fccid=84f556ede0522ba3&vjs=3
현대자동차그룹,성남 판교역,[선행기술원] Quantum Information[책임연구원],https://kr.indeed.com/rc/clk?jk=4ff25d50f3f66d7c&fccid=980d6ecc399a3373&vjs=3
롯데정보통신,서울,[Data Analytics팀] DA분석컨설팅 직무,https://kr.indeed.com/rc/clk?jk=02b304efa2942c61&fccid=ae6a0ecfe23adfb7&vjs=3
Nexon,경기도 성남,[사업개발그룹] 넥슨 현대카드 데이터분석 PM,https://kr.indeed.com/rc/clk?jk=4e32eb4c5bf55af0&fccid=aba87288e4cc3687&vjs=3
아이브코딩목동학원,서울 양천구,"목동 컴퓨터 코딩학원 교육강사 (정규직 및 계약직, 경력무관)",https://kr.indeed.com/rc/clk?jk=7543944fc437926b&fccid=30f7201d74468079&vjs=3
포소드,서울 영등포구,2022년 하반기,https://kr.indeed.com/rc/clk?jk=4d42c4aa89b8d6b3&fccid=03adf364bfd83c1c&vjs=3
씨엘인터내셔널,성남 중원구,연구소 SW 연구원 신입 및 경력직,https://kr.indeed.com/rc/clk?jk=afa93115f2cee341&fccid=958f7080b716681d&vjs=3
지멘스헬시니어스,성남 분당구,Ultrasound Engineer(Junior)Ultrasound Engineer(Junior),https://kr.indeed.com/rc/clk?jk=1269a45032485eb4&fccid=063f4bc515f1af73&vjs=3
TikTok,서울,"[KR] Solutions Engineer, TikTok Ads",https://kr.indeed.com/rc/clk?jk=e859aef236922ced&fccid=caed318a9335aac0&vjs=3
에스케이텔레콤,서울 중구,데이터 엔지니어 전문가,https://kr.indeed.com/rc/clk?jk=47703903b6e5f4c7&fccid=ce2f0f28b40a5be8&vjs=3
시스메틱,서울 영등포구,백엔드 엔지니어 (Python/Javascript),https://kr.indeed.com/rc/clk?jk=dc4b5e342e7ae6a0&fccid=6cc748c560420a2e&vjs=3
아토머스,서울 강남구,파이썬(python) 백엔드 개발자 (전문연구요원/산업기능요원 가능),https://kr.indeed.com/rc/clk?jk=240326a26bd13bf2&fccid=660bbb21789ab63d&vjs=3
AIA,서울,Business Data Analyst,https://kr.indeed.com/rc/clk?jk=b8c69b58bc3fe70c&fccid=004041685e219574&vjs=3
부동산일일사,서울 서초구,빅데이터연구소 데이터 관리 담당자,https://kr.indeed.com/rc/clk?jk=a22b1a700670dd21&fccid=6aefef11451c23ac&vjs=3
메디인테크,서울 종로구,"C/C++, Python 최적화 엔지니어",https://kr.indeed.com/rc/clk?jk=878823dd887b22ad&fccid=4178395beb21535a&vjs=3
비바리퍼블리카,서울 강남구,Python Developer (Internal Product),https://kr.indeed.com/rc/clk?jk=407227caccf6b655&fccid=17dc934b27d58446&vjs=3
에바,성남 수정구,"영상처리, 컴퓨터 비전 전문가 (신입/경력)",https://kr.indeed.com/rc/clk?jk=2642a83874ea6bab&fccid=5cc87f5890bd7170&vjs=3
블록스퀘어서울,서울 서초구,"웹개발자 백엔드&서버개발(HTML·DHTML·mHTML, JAVA 외) 신입/경력 정규직",https://kr.indeed.com/rc/clk?jk=1eeb4f006adf13ba&fccid=72348558bd9456ba&vjs=3
